"Autor.id";"Autor";"Autor..UF.";"Partido";"TotalConvenios";"CodImg"
"CARLOS ZARATTINI_SP";"CARLOS ZARATTINI";"SP";"PT";"34442674.45";"141398"
"CARMEN ZANOTTO_SC";"CARMEN ZANOTTO";"SC";"PPS";"4908026.57";"164360"
"CELSO MALDANER_SC";"CELSO MALDANER";"SC";"PMDB";"56488110.37";"141405"
"CELSO RUSSOMANNO_SP";"CELSO RUSSOMANNO";"SP";"PRB";"1031632.83";"73441"
"CHICO ALENCAR_RJ";"CHICO ALENCAR";"RJ";"PSOL";"2101935.67";"74171"
"CHICO LOPES_CE";"CHICO LOPES";"CE";"PCdoB";"38961506.79";"141440"
"CLAUDIO CAJADO_BA";"CLAUDIO CAJADO";"BA";"DEM";"38148407.24";"74537"
"CLEBER VERDE_MA";"CLEBER VERDE";"MA";"PRB";"35234966.87";"141408"
"CONCEIÇÃO SAMPAIO_AM";"CONCEIÇÃO SAMPAIO";"AM";"PP";"300400";"178848"
"COVATTI FILHO_RS";"COVATTI FILHO";"RS";"PP";"1250000";"178963"
"CÉLIO SILVEIRA_GO";"CÉLIO SILVEIRA";"GO";"PSDB";"2019800";"178876"
"CÉSAR HALUM_TO";"CÉSAR HALUM";"TO";"PRB";"30098873.1";"160576"
"CÉSAR MESSIAS_AC";"CÉSAR MESSIAS";"AC";"PSB";"600200";"178838"
"DAGOBERTO_MS";"DAGOBERTO";"MS";"PDT";"2121218.53";"141411"
"DAMIÃO FELICIANO_PB";"DAMIÃO FELICIANO";"PB";"PDT";"29461134.33";"74467"
"DANIEL ALMEIDA_BA";"DANIEL ALMEIDA";"BA";"PCdoB";"38410955.61";"74060"
"DANILO FORTE_CE";"DANILO FORTE";"CE";"PSB";"23064927.78";"62881"
"DANRLEI DE DEUS HINTERHOLZ_RS";"DANRLEI DE DEUS HINTERHOLZ";"RS";"PSD";"31131251.02";"160552"
"DARCÍSIO PERONDI_RS";"DARCÍSIO PERONDI";"RS";"PMDB";"40879251.71";"73891"
"DELEY_RJ";"DELEY";"RJ";"PTB";"16239742.33";"74172"
"DIEGO ANDRADE_MG";"DIEGO ANDRADE";"MG";"PSD";"27886572.76";"160588"
"DIEGO GARCIA_PR";"DIEGO GARCIA";"PR";"PHS";"586000";"178929"
"DILCEU SPERAFICO_PR";"DILCEU SPERAFICO";"PR";"PP";"43545067.78";"73768"
"DIMAS FABIANO_MG";"DIMAS FABIANO";"MG";"PP";"34482359.22";"160599"
"DOMINGOS NETO_CE";"DOMINGOS NETO";"CE";"PMB";"13265664.55";"143632"
"DOMINGOS SÁVIO_MG";"DOMINGOS SÁVIO";"MG";"PSDB";"22441573.36";"160758"
"DR. JORGE SILVA_ES";"DR. JORGE SILVA";"ES";"Pros";"31269588.39";"160643"
"DUARTE NOGUEIRA_SP";"DUARTE NOGUEIRA";"SP";"PSDB";"30337844.95";"141385"
"DÂMINA PEREIRA_MG";"DÂMINA PEREIRA";"MG";"PMB";"1200000";"178892"
"DÉCIO LIMA_SC";"DÉCIO LIMA";"SC";"PT";"50834108.56";"141413"
"EDINHO ARAÚJO_SP";"EDINHO ARAÚJO";"SP";"PMDB";"35224200.96";"73447"
"EDIO LOPES_RR";"EDIO LOPES";"RR";"PMDB";"33322464.98";"141417"
"EDUARDO BARBOSA_MG";"EDUARDO BARBOSA";"MG";"PSDB";"32035092.71";"74655"
"EDUARDO BOLSONARO_SP";"EDUARDO BOLSONARO";"SP";"PSC";"195500";"92346"
"EDUARDO CUNHA_RJ";"EDUARDO CUNHA";"RJ";"PMDB";"30389051.54";"74173"
"EDUARDO DA FONTE_PE";"EDUARDO DA FONTE";"PE";"PP";"31193932.99";"141421"
"EFRAIM FILHO_PB";"EFRAIM FILHO";"PB";"DEM";"29691915.67";"141422"
"ELCIONE BARBALHO_PA";"ELCIONE BARBALHO";"PA";"PMDB";"21063540.28";"74075"
"ELI CORRÊA FILHO_SP";"ELI CORRÊA FILHO";"SP";"DEM";"12846499.64";"160532"
"ENIO VERRI_PR";"ENIO VERRI";"PR";"PT";"500000";"132504"
"ERIKA KOKAY_DF";"ERIKA KOKAY";"DF";"PT";"10167742.44";"160575"
"ERIVELTON SANTANA_BA";"ERIVELTON SANTANA";"BA";"PSC";"22547395.11";"99654"
"EROS BIONDINI_MG";"EROS BIONDINI";"MG";"PTB";"24919776.14";"160640"
"ESPERIDIÃO AMIN_SC";"ESPERIDIÃO AMIN";"SC";"PP";"36577290.75";"160649"
"EVAIR DE MELO_ES";"EVAIR DE MELO";"ES";"PV";"150000";"178871"
"EVANDRO ROMAN_PR";"EVANDRO ROMAN";"PR";"PSD";"317934.78";"178930"
"EXPEDITO NETTO_RO";"EXPEDITO NETTO";"RO";"SD";"2769957.31";"178953"
"FABIO REIS_SE";"FABIO REIS";"SE";"PMDB";"14035292.4";"171623"
"FAUSTO PINATO_SP";"FAUSTO PINATO";"SP";"PRB";"514871.78";"66828"
"FELIPE BORNIER_RJ";"FELIPE BORNIER";"RJ";"PSD";"11056949.44";"141430"
"FELIPE MAIA_RN";"FELIPE MAIA";"RN";"DEM";"24498110.44";"141429"
"FERNANDO COELHO FILHO_PE";"FERNANDO COELHO FILHO";"PE";"PSB";"74747018.52";"141431"
"FERNANDO FRANCISCHINI_PR";"FERNANDO FRANCISCHINI";"PR";"SD";"15798808.62";"160646"
"FERNANDO JORDÃO_RJ";"FERNANDO JORDÃO";"RJ";"PMDB";"16737253.56";"163831"
"FERNANDO TORRES_BA";"FERNANDO TORRES";"BA";"PSD";"25502057.04";"160676"
"FLAVIANO MELO_AC";"FLAVIANO MELO";"AC";"PMDB";"49390007.59";"141434"
"FLÁVIA MORAIS_GO";"FLÁVIA MORAIS";"GO";"PDT";"31097388.12";"160598"
"FRANCISCO CHAPADINHA_PA";"FRANCISCO CHAPADINHA";"PA";"PSD";"536250";"178907"
"FRANCISCO FLORIANO_RJ";"FRANCISCO FLORIANO";"RJ";"PR";"16510195.42";"160677"
"FÁBIO FARIA_RN";"FÁBIO FARIA";"RN";"PSD";"31741927.61";"141428"
"FÁBIO RAMALHO_MG";"FÁBIO RAMALHO";"MG";"PMB";"25443872.62";"141427"
"FÁBIO SOUSA_GO";"FÁBIO SOUSA";"GO";"PSDB";"330000";"178877"
"FÉLIX MENDONÇA JÚNIOR_BA";"FÉLIX MENDONÇA JÚNIOR";"BA";"PDT";"3342659.28";"160666"
"GABRIEL GUIMARÃES_MG";"GABRIEL GUIMARÃES";"MG";"PT";"17792718.66";"129037"
"GENECIAS NORONHA_CE";"GENECIAS NORONHA";"CE";"SD";"24036620.27";"160669"
"GEOVANIA DE SÁ_SC";"GEOVANIA DE SÁ";"SC";"PSDB";"200020";"178966"
"GERALDO RESENDE_MS";"GERALDO RESENDE";"MS";"PMDB";"43051662.06";"74374"
"GIACOBO_PR";"GIACOBO";"PR";"PR";"33344756.81";"74383"
"GIOVANI CHERINI_RS";"GIOVANI CHERINI";"RS";"PDT";"34765765.42";"160673"
"GIUSEPPE VECCI_GO";"GIUSEPPE VECCI";"GO";"PSDB";"250000";"178878"
"GIVALDO CARIMBÃO_AL";"GIVALDO CARIMBÃO";"AL";"Pros";"24740572.82";"74558"
"GLAUBER BRAGA_RJ";"GLAUBER BRAGA";"RJ";"PSOL";"19860026.16";"152605"
"GONZAGA PATRIOTA_PE";"GONZAGA PATRIOTA";"PE";"PSB";"55142067.63";"74419"
"GORETE PEREIRA_CE";"GORETE PEREIRA";"CE";"PR";"38128962.55";"129618"
"GUILHERME MUSSI_SP";"GUILHERME MUSSI";"SP";"PP";"24911697.25";"160667"
"HELDER SALOMÃO_ES";"HELDER SALOMÃO";"ES";"PT";"798450";"178873"
"HENRIQUE FONTANA_RS";"HENRIQUE FONTANA";"RS";"PT";"45170714";"73482"
"HERCULANO PASSOS_SP";"HERCULANO PASSOS";"SP";"PSD";"1828125";"178981"
"HERMES PARCIANELLO_PR";"HERMES PARCIANELLO";"PR";"PMDB";"24936883.64";"73772"
"HEULER CRUVINEL_GO";"HEULER CRUVINEL";"GO";"PSD";"13825674.38";"160596"
"HIRAN GONÇALVES_RR";"HIRAN GONÇALVES";"RR";"PMB";"2576920.98";"178959"
"HUGO LEAL_RJ";"HUGO LEAL";"RJ";"Pros";"17957627.79";"141450"
"HUGO MOTTA_PB";"HUGO MOTTA";"PB";"PMDB";"24353585.99";"160674"
"HÉLIO LEITE_PA";"HÉLIO LEITE";"PA";"DEM";"311953.99";"178909"
"IRACEMA PORTELLA_PI";"IRACEMA PORTELLA";"PI";"PP";"33203538.17";"67138"
"IRAJÁ ABREU_TO";"IRAJÁ ABREU";"TO";"PSD";"18365306.59";"81232"
"IRMÃO LAZARO_BA";"IRMÃO LAZARO";"BA";"PSC";"962950";"178855"
"IVAN VALENTE_SP";"IVAN VALENTE";"SP";"PSOL";"6717124.54";"73531"
"IZALCI_DF";"IZALCI";"DF";"PSDB";"3662450.03";"4931"
"JAIME MARTINS_MG";"JAIME MARTINS";"MG";"PSD";"49615392.61";"74665"
"JAIR BOLSONARO_RJ";"JAIR BOLSONARO";"RJ";"PP";"3249966.4";"74847"
"JANDIRA FEGHALI_RJ";"JANDIRA FEGHALI";"RJ";"PCdoB";"17032039.48";"74848"
