"Autor.id";"Autor";"Autor..UF.";"Partido";"TotalConvenios";"CodImg"
"PAULO PIMENTA_RS";"PAULO PIMENTA";"RS";"PT";"43437621.25";"74400"
"PAULO TEIXEIRA_SP";"PAULO TEIXEIRA";"SP";"PT";"32713025.32";"141488"
"PAULÃO_AL";"PAULÃO";"AL";"PT";"12543726.6";"171617"
"PEDRO CHAVES_GO";"PEDRO CHAVES";"GO";"PMDB";"29301550.41";"74812"
"PEDRO CUNHA LIMA_PB";"PEDRO CUNHA LIMA";"PB";"PSDB";"292800";"178912"
"PEDRO FERNANDES_MA";"PEDRO FERNANDES";"MA";"PTB";"9956442.72";"74449"
"PEDRO UCZAI_SC";"PEDRO UCZAI";"SC";"PT";"38162488.81";"160604"
"PEPE VARGAS_RS";"PEPE VARGAS";"RS";"PT";"14331670.22";"141445"
"POMPEO DE MATTOS_RS";"POMPEO DE MATTOS";"RS";"PDT";"1189918.67";"73486"
"PR. MARCO FELICIANO_SP";"PR. MARCO FELICIANO";"SP";"PSC";"26201586.63";"160601"
"PROFESSORA DORINHA SEABRA REZENDE_TO";"PROFESSORA DORINHA SEABRA REZENDE";"TO";"DEM";"25057570.28";"160639"
"PROFESSORA MARCIVANIA_AP";"PROFESSORA MARCIVANIA";"AP";"PT";"2164411.7";"160641"
"RAIMUNDO GOMES DE MATOS_CE";"RAIMUNDO GOMES DE MATOS";"CE";"PSDB";"33486883.01";"74216"
"RAQUEL MUNIZ_MG";"RAQUEL MUNIZ";"MG";"PSC";"488578.16";"178998"
"REGINALDO LOPES_MG";"REGINALDO LOPES";"MG";"PT";"35539055.96";"74161"
"REMÍDIO MONAI_RR";"REMÍDIO MONAI";"RR";"PR";"3621431.6";"178960"
"RENATA ABREU_SP";"RENATA ABREU";"SP";"PTN";"612000";"178989"
"RENATO MOLLING_RS";"RENATO MOLLING";"RS";"PP";"44091783.41";"141527"
"RENZO BRAZ_MG";"RENZO BRAZ";"MG";"PP";"34932945.18";"160654"
"RICARDO BARROS_PR";"RICARDO BARROS";"PR";"PP";"1149467";"73788"
"RICARDO IZAR_SP";"RICARDO IZAR";"SP";"PSD";"17072139.31";"160655"
"RICARDO TRIPOLI_SP";"RICARDO TRIPOLI";"SP";"PSDB";"18140677.65";"141472"
"ROBERTO BALESTRA_GO";"ROBERTO BALESTRA";"GO";"PP";"23267809.05";"73674"
"ROBERTO BRITTO_BA";"ROBERTO BRITTO";"BA";"PP";"42339325.74";"141529"
"ROBERTO DE LUCENA_SP";"ROBERTO DE LUCENA";"SP";"PV";"17947903.27";"160653"
"ROBERTO GÓES_AP";"ROBERTO GÓES";"AP";"PDT";"6536934.34";"178995"
"ROBERTO SALES_RJ";"ROBERTO SALES";"RJ";"PRB";"1085102.7";"178944"
"ROCHA_AC";"ROCHA";"AC";"PSDB";"831700";"178840"
"RODRIGO DE CASTRO_MG";"RODRIGO DE CASTRO";"MG";"PSDB";"10116549.88";"141531"
"RODRIGO GARCIA_SP";"RODRIGO GARCIA";"SP";"DEM";"1467268.13";"88950"
"RODRIGO MAIA_RJ";"RODRIGO MAIA";"RJ";"DEM";"9751324.43";"74693"
"RODRIGO PACHECO_MG";"RODRIGO PACHECO";"MG";"PMDB";"488000";"178897"
"ROGÉRIO MARINHO_RN";"ROGÉRIO MARINHO";"RN";"PSDB";"3169905.74";"141535"
"ROGÉRIO PENINHA MENDONÇA_SC";"ROGÉRIO PENINHA MENDONÇA";"SC";"PMDB";"30184600.79";"160651"
"RONALDO BENEDET_SC";"RONALDO BENEDET";"SC";"PMDB";"39654116.24";"160515"
"RONALDO CARLETTO_BA";"RONALDO CARLETTO";"BA";"PP";"292800";"178861"
"RONALDO FONSECA_DF";"RONALDO FONSECA";"DF";"Pros";"14744471.91";"160637"
"RONALDO MARTINS_CE";"RONALDO MARTINS";"CE";"PRB";"1004009";"122466"
"RONALDO NOGUEIRA_RS";"RONALDO NOGUEIRA";"RS";"PTB";"17123795.23";"163321"
"ROSANGELA GOMES_RJ";"ROSANGELA GOMES";"RJ";"PRB";"1011545";"178945"
"RUBENS BUENO_PR";"RUBENS BUENO";"PR";"PPS";"15071589.24";"73466"
"RUBENS OTONI_GO";"RUBENS OTONI";"GO";"PT";"17073846.07";"74371"
"RUBENS PEREIRA JÚNIOR_MA";"RUBENS PEREIRA JÚNIOR";"MA";"PCdoB";"1426000";"178887"
"RÔMULO GOUVEIA_PB";"RÔMULO GOUVEIA";"PB";"PSD";"1861000";"141536"
"SANDRO ALEX_PR";"SANDRO ALEX";"PR";"PPS";"12334970.47";"160621"
"SARAIVA FELIPE_MG";"SARAIVA FELIPE";"MG";"PMDB";"28701469.12";"74762"
"SARNEY FILHO_MA";"SARNEY FILHO";"MA";"PV";"30728505.41";"74210"
"SERGIO VIDIGAL_ES";"SERGIO VIDIGAL";"ES";"PDT";"678091.04";"178874"
"SHÉRIDAN_RR";"SHÉRIDAN";"RR";"PSDB";"3210901.22";"178961"
"SIBÁ MACHADO_AC";"SIBÁ MACHADO";"AC";"PT";"33872464.68";"160613"
"SILAS CÂMARA_AM";"SILAS CÂMARA";"AM";"PSD";"62042249.2";"74356"
"SILVIO COSTA_PE";"SILVIO COSTA";"PE";"PTdoB";"86908421.36";"4930"
"SILVIO TORRES_SP";"SILVIO TORRES";"SP";"PSDB";"1013126.26";"73560"
"SIMÃO SESSIM_RJ";"SIMÃO SESSIM";"RJ";"PP";"24091666.7";"73424"
"SORAYA SANTOS_RJ";"SORAYA SANTOS";"RJ";"PMDB";"1245450.1";"178946"
"STEFANO AGUIAR_MG";"STEFANO AGUIAR";"MG";"PSB";"14474274.03";"92776"
"SUBTENENTE GONZAGA_MG";"SUBTENENTE GONZAGA";"MG";"PDT";"3783960.68";"177282"
"SÁGUAS MORAES_MT";"SÁGUAS MORAES";"MT";"PT";"8549017";"160630"
"SÉRGIO BRITO_BA";"SÉRGIO BRITO";"BA";"PSD";"30169487.04";"73808"
"SÉRGIO MORAES_RS";"SÉRGIO MORAES";"RS";"PTB";"43921540.67";"141542"
"TAKAYAMA_PR";"TAKAYAMA";"PR";"PSC";"28320359.24";"74385"
"TEREZA CRISTINA_MS";"TEREZA CRISTINA";"MS";"PSB";"1137691.31";"178901"
"THIAGO PEIXOTO_GO";"THIAGO PEIXOTO";"GO";"PSD";"6959422.66";"160617"
"TIA ERON_BA";"TIA ERON";"BA";"PRB";"1519438.19";"178862"
"TIRIRICA_SP";"TIRIRICA";"SP";"PR";"41192393.23";"160976"
"TONINHO PINHEIRO_MG";"TONINHO PINHEIRO";"MG";"PP";"25940031.66";"160611"
"TONINHO WANDSCHEER_PR";"TONINHO WANDSCHEER";"PR";"PMB";"196000";"178934"
"VALADARES FILHO_SE";"VALADARES FILHO";"SE";"PSB";"27006578.04";"141384"
"VALDIR COLATTO_SC";"VALDIR COLATTO";"SC";"PMDB";"20789406.26";"74010"
"VALMIR ASSUNÇÃO_BA";"VALMIR ASSUNÇÃO";"BA";"PT";"15862954.57";"160610"
"VALTENIR PEREIRA_MT";"VALTENIR PEREIRA";"MT";"PMB";"7953248.58";"141552"
"VANDER LOUBET_MS";"VANDER LOUBET";"MS";"PT";"1000660.98";"74376"
"VANDERLEI MACRIS_SP";"VANDERLEI MACRIS";"SP";"PSDB";"19846163.64";"141553"
"VENEZIANO VITAL DO RÊGO_PB";"VENEZIANO VITAL DO RÊGO";"PB";"PMDB";"747500";"178913"
"VICENTE ARRUDA_CE";"VICENTE ARRUDA";"CE";"Pros";"38106508.49";"74308"
"VICENTE CANDIDO_SP";"VICENTE CANDIDO";"SP";"PT";"20342646.86";"160622"
"VICENTINHO_SP";"VICENTINHO";"SP";"PT";"22866263.72";"74283"
"VINICIUS CARVALHO_SP";"VINICIUS CARVALHO";"SP";"PRB";"995600";"141555"
"VINICIUS GURGEL_AP";"VINICIUS GURGEL";"AP";"PR";"44226275.47";"160591"
"WALDENOR PEREIRA_BA";"WALDENOR PEREIRA";"BA";"PT";"24524942.71";"160569"
"WALDIR MARANHÃO_MA";"WALDIR MARANHÃO";"MA";"PP";"30940058.69";"141558"
"WASHINGTON REIS_RJ";"WASHINGTON REIS";"RJ";"PMDB";"33181974.49";"160620"
"WELITON PRADO_MG";"WELITON PRADO";"MG";"PMB";"9024722.39";"160518"
"WELLINGTON ROBERTO_PB";"WELLINGTON ROBERTO";"PB";"PR";"31150546.53";"74043"
"WILSON FILHO_PB";"WILSON FILHO";"PB";"PTB";"35261512.48";"160636"
"WLADIMIR COSTA_PA";"WLADIMIR COSTA";"PA";"SD";"19480750.55";"73930"
"WOLNEY QUEIROZ_PE";"WOLNEY QUEIROZ";"PE";"PDT";"93220668.95";"74439"
"ZECA CAVALCANTI_PE";"ZECA CAVALCANTI";"PE";"PTB";"832900";"178923"
"ZECA DIRCEU_PR";"ZECA DIRCEU";"PR";"PT";"27520142.18";"160592"
"ZÉ GERALDO_PA";"ZÉ GERALDO";"PA";"PT";"31733656.4";"73931"
"ZÉ SILVA_MG";"ZÉ SILVA";"MG";"SD";"25645926.6";"160632"
"ÁTILA LINS_AM";"ÁTILA LINS";"AM";"PSD";"44315323.32";"74090"
"ÁTILA LIRA_PI";"ÁTILA LIRA";"PI";"PSB";"14139354.7";"74459"
