BETO ROSADO;5310685;23122;RN=PP;178948;BETO ROSADO
BETO SALAME;5310637;2320;PA=PP;178906;BETO SALAME
BILAC PINTO;5310796;23232;MG=PR;141513;BILAC PINTO
BOHN GASS;5310655;23499;RS=PT;160538;BOHN GASS
BONIFÁCIO DE ANDRADA;5310755;23222;MG=PSDB;74650;BONIFÁCIO DE ANDRADA
BRUNA FURLAN;5310665;23335;SP=PSDB;160589;BRUNA FURLAN
BRUNNY;5310695;23223;MG=PR;178999;BRUNNY
BRUNO ARAÚJO;5310294;23146;PE=PSDB;141394;BRUNO ARAÚJO
BRUNO COVAS;5310738;23343;SP=PSDB;178976;BRUNO COVAS
CABO DACIOLO;5310757;23289;RJ=PTdoB;178938;CABO DACIOLO
CABO SABINO;5310773;2394;CE=PR;178865;CABO SABINO
CABUÇU BORGES;5310572;2314;AP=PMDB;105112;CABUÇU BORGES
CACÁ LEÃO;5310296;23193;BA=PP;93083;CACÁ LEÃO
CAETANO;5310486;23196;BA=PT;178853;CAETANO
CAIO NARCIO;5310543;23225;MG=PSDB;178891;CAIO NARCIO
CAPITÃO AUGUSTO;5310434;23346;SP=PR;178829;CAPITÃO AUGUSTO
CAPITÃO FÁBIO ABREU;5310295;23112;PI=PTB;178924;CAPITÃO FÁBIO ABREU
CARLOS ANDRADE;5310456;233;RR=PHS;178958;CARLOS ANDRADE
CARLOS BEZERRA;5310791;23400;MT=PMDB;141401;CARLOS BEZERRA
CARLOS GOMES;5310302;23492;RS=PRB;178962;CARLOS GOMES
CARLOS HENRIQUE GAGUIM;5310622;2360;TO=PTN;178993;CARLOS HENRIQUE GAGUIM
CARLOS MANATO;5310639;23275;ES=SD;74163;CARLOS MANATO
CARLOS MARUN;5310595;23433;MS=PMDB;178900;CARLOS MARUN
CARLOS MELLES;5310719;23226;MG=DEM;74651;CARLOS MELLES
CARLOS SAMPAIO;5310711;23338;SP=PSDB;74262;CARLOS SAMPAIO
CARLOS ZARATTINI;5310561;23398;SP=PT;141398;CARLOS ZARATTINI
CARMEN ZANOTTO;5310630;23477;SC=PPS;164360;CARMEN ZANOTTO
CÉLIO SILVEIRA;5310585;23417;GO=PSDB;178876;CÉLIO SILVEIRA
CELSO MALDANER;5310413;23472;SC=PMDB;141405;CELSO MALDANER
CELSO PANSERA;5310473;23292;RJ=PMDB;72912;CELSO PANSERA
CELSO RUSSOMANNO;5310790;23347;SP=PRB;73441;CELSO RUSSOMANNO
CÉSAR HALUM;5310525;2364;TO=PRB;160576;CÉSAR HALUM
CÉSAR MESSIAS;5310698;2355;AC=PSB;178838;CÉSAR MESSIAS
CESAR SOUZA;5310492;23479;SC=PSD;73720;CESAR SOUZA
CHICO ALENCAR;5310653;23295;RJ=PSOL;74171;CHICO ALENCAR
CHICO D''ANGELO;5310298;23293;RJ=PT;141439;CHICO D''ANGELO
CHICO LOPES;5310690;2388;CE=PCdoB;141440;CHICO LOPES
CHRISTIANE DE SOUZA YARED;5310531;23442;PR=PR;178928;CHRISTIANE DE SOUZA YARED
CÍCERO ALMEIDA;5310797;23165;AL=PMDB;178841;CÍCERO ALMEIDA
CLARISSA GAROTINHO;5310658;23294;RJ=PR;178939;CLARISSA GAROTINHO
CLAUDIO CAJADO;5310679;23186;BA=DEM;74537;CLAUDIO CAJADO
CLEBER VERDE;5310455;2370;MA=PRB;141408;CLEBER VERDE
CONCEIÇÃO SAMPAIO;5310629;2341;AM=PP;178848;CONCEIÇÃO SAMPAIO
COVATTI FILHO;5310523;23493;RS=PP;178963;COVATTI FILHO
CRISTIANE BRASIL;5310347;23296;RJ=PTB;93472;CRISTIANE BRASIL
DAGOBERTO;5310399;23434;MS=PDT;141411;DAGOBERTO
DAMIÃO FELICIANO;5310673;23127;PB=PDT;74467;DAMIÃO FELICIANO
DÂMINA PEREIRA;5310705;23227;MG=PSL;178892;DÂMINA PEREIRA
DANIEL ALMEIDA;5310345;23188;BA=PCdoB;74060;DANIEL ALMEIDA
DANIEL COELHO;5310748;23144;PE=PSDB;178916;DANIEL COELHO
DANIEL VILELA;5310692;23420;GO=PMDB;144523;DANIEL VILELA
DANILO CABRAL;5310335;23148;PE=PSB;160528;DANILO CABRAL
DANILO FORTE;5310390;2395;CE=PSB;62881;DANILO FORTE
DANRLEI DE DEUS HINTERHOLZ;5310726;23495;RS=PSD;160552;DANRLEI DE DEUS HINTERHOLZ
DARCÍSIO PERONDI;5310385;23491;RS=PMDB;73891;DARCÍSIO PERONDI
DAVIDSON MAGALHÃES;5310808;23525;BA=PCdoB;101309;DAVIDSON MAGALHÃES
DÉCIO LIMA;5310313;23475;SC=PT;141413;DÉCIO LIMA
DELEGADO ÉDER MAURO;5310498;2322;PA=PSD;178908;DELEGADO ÉDER MAURO
DELEGADO EDSON MOREIRA;5310363;23229;MG=PR;178893;DELEGADO EDSON MOREIRA
DELEGADO WALDIR;5310350;23421;GO=PR;164359;DELEGADO WALDIR
DELEY;5310564;23298;RJ=PTB;74172;DELEY
DIEGO ANDRADE;5310547;23228;MG=PSD;160588;DIEGO ANDRADE
DIEGO GARCIA;5310672;23447;PR=PHS;178929;DIEGO GARCIA
DILCEU SPERAFICO;5310651;23444;PR=PP;73768;DILCEU SPERAFICO
DIMAS FABIANO;5310297;23231;MG=PP;160599;DIMAS FABIANO
DOMINGOS NETO;5310652;2397;CE=PSD;143632;DOMINGOS NETO
DOMINGOS SÁVIO;5310599;23233;MG=PSDB;160758;DOMINGOS SÁVIO
DR. JOÃO;5310429;23299;RJ=PR;178940;DR. JOÃO
DR. JORGE SILVA;5310309;23278;ES=PHS;160643;DR. JORGE SILVA
DR. SINVAL MALHEIROS;5310623;23351;SP=PTN;178830;DR. SINVAL MALHEIROS
DUARTE NOGUEIRA;5310506;23350;SP=PSDB;141385;DUARTE NOGUEIRA
DULCE MIRANDA;5310311;2361;TO=PMDB;178994;DULCE MIRANDA
EDINHO ARAÚJO;5310510;23344;SP=PMDB;73447;EDINHO ARAÚJO
EDIO LOPES;5310686;232;RR=PR;141417;EDIO LOPES
EDMILSON RODRIGUES;5310604;2327;PA=PSOL;134812;EDMILSON RODRIGUES
EDUARDO BARBOSA;5310588;23230;MG=PSDB;74655;EDUARDO BARBOSA
EDUARDO BOLSONARO;5310315;23352;SP=PSC;92346;EDUARDO BOLSONARO
EDUARDO CUNHA;5310533;23300;RJ=PMDB;74173;EDUARDO CUNHA
EDUARDO CURY;5310529;23353;SP=PSDB;178977;EDUARDO CURY
EDUARDO DA FONTE;5310517;23156;PE=PP;141421;EDUARDO DA FONTE
EFRAIM FILHO;5310519;23128;PB=DEM;141422;EFRAIM FILHO
